time,numworkers,streamsize
9226788,16,5000
9231849,16,5000
9236909,16,5000
9242001,16,5000
9247056,16,5000
9252118,16,5000
9257178,16,5000
9262295,16,5000
9267361,16,5000
9272423,16,5000
9277483,16,5000
9282565,16,5000
9287627,16,5000
9292693,16,5000
9297753,16,5000
9302813,16,5000
9307918,16,5000
9312998,16,5000
9318100,16,5000
9323161,16,5000
9328222,16,5000
9333282,16,5000
9338342,16,5000
9343443,16,5000
9348563,16,5000
9353669,16,5000
9358735,16,5000
9363849,16,5000
9368911,16,5000
9373974,16,5000
9379034,16,5000
9384094,16,5000
9389197,16,5000
9394259,16,5000
9399319,16,5000
9404380,16,5000
9409440,16,5000
9414562,16,5000
9419667,16,5000
9424778,16,5000
9429842,16,5000
9434955,16,5000
9440059,16,5000
9445134,16,5000
9450194,16,5000
9455254,16,5000
9460314,16,5000
9465426,16,5000
9470487,16,5000
9475547,16,5000
9480664,16,5000
9485767,16,5000
9490886,16,5000
9495961,16,5000
9501022,16,5000
9506084,16,5000
9511145,16,5000
9516205,16,5000
9521308,16,5000
9526369,16,5000
9531428,16,5000
9536488,16,5000
9541548,16,5000
9546653,16,5000
9551714,16,5000
9556774,16,5000
9561834,16,5000
9566937,16,5000
9572038,16,5000
9577100,16,5000
9582160,16,5000
9587221,16,5000
9592285,16,5000
9597345,16,5000
9602447,16,5000
9607518,16,5000
9612581,16,5000
9617641,16,5000
9622701,16,5000
9627805,16,5000
9632868,16,5000
9637928,16,5000
9642960,16,5000
9648067,16,5000
9653171,16,5000
9658235,16,5000
9663333,16,5000
9668396,16,5000
9673456,16,5000
9678516,16,5000
9683619,16,5000
9688680,16,5000
9693740,16,5000
9698800,16,5000
9703860,16,5000
9708961,16,5000
9714022,16,5000
9719082,16,5000
9724142,16,5000
9729249,16,5000
9734355,16,5000
9739420,16,5000
9744527,16,5000
9749593,16,5000
9754653,16,5000
9759713,16,5000
9764819,16,5000
9769881,16,5000
9774959,16,5000
9780021,16,5000
9785083,16,5000
9790175,16,5000
9795283,16,5000
9800390,16,5000
9805499,16,5000
9810620,16,5000
9815726,16,5000
9820831,16,5000
9825895,16,5000
9830959,16,5000
9836019,16,5000
9841079,16,5000
9846196,16,5000
9851257,16,5000
9856317,16,5000
9861377,16,5000
9866436,16,5000
9871537,16,5000
9876598,16,5000
9881658,16,5000
9886718,16,5000
9891825,16,5000
9896930,16,5000
9902049,16,5000
9907112,16,5000
9912176,16,5000
9917236,16,5000
9922339,16,5000
9927446,16,5000
9932553,16,5000
9937659,16,5000
9942766,16,5000
9947830,16,5000
9952932,16,5000
9957993,16,5000
9963053,16,5000
9968117,16,5000
9973177,16,5000
9978237,16,5000
9983341,16,5000
9988404,16,5000
9993459,16,5000
9998521,16,5000
10003582,16,5000
10008686,16,5000
10013747,16,5000
10018821,16,5000
10023881,16,5000
10028984,16,5000
10034116,16,5000
10039180,16,5000
10044300,16,5000
10049407,16,5000
10054511,16,5000
10059578,16,5000
10064642,16,5000
10069706,16,5000
10074768,16,5000
10079830,16,5000
10084890,16,5000
10089994,16,5000
10095057,16,5000
10100119,16,5000
10105180,16,5000
10110286,16,5000
10115351,16,5000
10120448,16,5000
10125567,16,5000
10130687,16,5000
10135791,16,5000
10140896,16,5000
10145959,16,5000
10151022,16,5000
10156125,16,5000
10161187,16,5000
10166256,16,5000
10171315,16,5000
10176376,16,5000
10181493,16,5000
10186572,16,5000
10191689,16,5000
10196806,16,5000
10201864,16,5000
10207022,16,5000
10212133,16,5000
10217196,16,5000
10222332,16,5000
10227431,16,5000
10232530,16,5000
10237629,16,5000
10242691,16,5000
10247808,16,5000
10252910,16,5000
10257972,16,5000
10263036,16,5000
10268142,16,5000
10273244,16,5000
10278352,16,5000
10283461,16,5000
10288573,16,5000
10293686,16,5000
10298758,16,5000
10303871,16,5000
10308987,16,5000
10314052,16,5000
10319118,16,5000
10324229,16,5000
10329374,16,5000
10334486,16,5000
10339598,16,5000
10344702,16,5000
10349813,16,5000
10354925,16,5000
10360036,16,5000
10365154,16,5000
10370235,16,5000
10375392,16,5000
10380508,16,5000
10385627,16,5000
10390748,16,5000
10395867,16,5000
10400990,16,5000
10406069,16,5000
10411258,16,5000
10416376,16,5000
10421454,16,5000
10426570,16,5000
10431686,16,5000
10436803,16,5000
10441920,16,5000
10447026,16,5000
10452145,16,5000
10457267,16,5000
10462385,16,5000
10467504,16,5000
10472621,16,5000
10477741,16,5000
10482819,16,5000
10487933,16,5000
10493051,16,5000
10498171,16,5000
10503247,16,5000
10508364,16,5000
10513481,16,5000
10518597,16,5000
10523712,16,5000
10528831,16,5000
10533953,16,5000
10539019,16,5000
10544173,16,5000
10549287,16,5000
10554406,16,5000
10559529,16,5000
10564606,16,5000
10569728,16,5000
10574847,16,5000
10579966,16,5000
10585044,16,5000
10590163,16,5000
10595271,16,5000
10600387,16,5000
10605504,16,5000
10610623,16,5000
10615739,16,5000
10620856,16,5000
10625974,16,5000
10631016,16,5000
10636132,16,5000
10641249,16,5000
10646327,16,5000
10651444,16,5000
10656564,16,5000
10661716,16,5000
10666792,16,5000
10671911,16,5000
10677028,16,5000
10682152,16,5000
10687259,16,5000
10692325,16,5000
10697399,16,5000
10702514,16,5000
10707641,16,5000
10712810,16,5000
10717928,16,5000
10723024,16,5000
10728103,16,5000
10733219,16,5000
10738301,16,5000
10743424,16,5000
10748503,16,5000
10753620,16,5000
10758737,16,5000
10763853,16,5000
10768969,16,5000
10774091,16,5000
10779167,16,5000
10784286,16,5000
10789443,16,5000
10794562,16,5000
10799718,16,5000
10804787,16,5000
10809945,16,5000
10815022,16,5000
10820141,16,5000
10825260,16,5000
10830379,16,5000
10835499,16,5000
10840576,16,5000
10846461,16,5000
10851535,16,5000
10856617,16,5000
10861735,16,5000
10866808,16,5000
10871908,16,5000
10877020,16,5000
10882124,16,5000
10887225,16,5000
10892329,16,5000
10897430,16,5000
10902531,16,5000
10907634,16,5000
10912736,16,5000
10917882,16,5000
10922953,16,5000
10928053,16,5000
10933152,16,5000
10938251,16,5000
10943351,16,5000
10948484,16,5000
10953586,16,5000
10958686,16,5000
10963788,16,5000
10968888,16,5000
10973987,16,5000
10979052,16,5000
10984151,16,5000
10989251,16,5000
10994388,16,5000
10999486,16,5000
11004552,16,5000
11009654,16,5000
11014753,16,5000
11019886,16,5000
11024949,16,5000
11030083,16,5000
11035148,16,5000
11040254,16,5000
11045354,16,5000
11050453,16,5000
11055521,16,5000
11060620,16,5000
11065721,16,5000
11070820,16,5000
11075925,16,5000
